,mouse,UNinvCount,Cluster_0,Cluster_1,Cluster_2,Cluster_3,totalCount,UNinvCount_percent,Cluster_0_percent,Cluster_1_percent,Cluster_2_percent,Cluster_3_percent,condition
0,403,171378,137,0,0,210,171725,99.7979327413015,0.07977871597030135,0.0,0.0,0.12228854272819917,3
1,407,221707,17559,33,730,178,240207,92.29830937483088,7.3099451722889,0.013738150844896276,0.30390454899316005,0.07410275304216779,3
2,386,218301,391,0,0,768,219460,99.47188553722775,0.17816458580151281,0.0,0.0,0.34994987697074637,3
3,751,58148,12603,32362,291,91158,194562,29.886617119478625,6.477626669133747,16.633258292986298,0.14956671909211458,46.85293119930922,2
4,324,58066,30925,380,13880,41,103292,56.21538938155908,29.939395112883865,0.3678890911203191,13.437633117763234,0.03969329667350811,0
5,488,44960,54880,10499,34063,9,144411,31.133362416990394,38.002645227856604,7.2702217975084995,23.5875383454169,0.00623221222760039,0
6,763,167206,4174,28,73,433,171914,97.26142140837861,2.427958165129076,0.016287213374128924,0.04246309201112184,0.2518701211070652,3
7,340,180899,1383,0,0,16,182298,99.23257523395759,0.7586479281176974,0.0,0.0,0.008776837924716672,3
8,759,155487,4325,90,8,4926,164836,94.32830206993617,2.6238200393118007,0.054599723361401634,0.004853308743235701,2.988424858647383,3
9,781,180123,4627,226,8,156,185140,97.2901587987469,2.499189802311764,0.12206978502754672,0.004321054337258291,0.08426055957653668,3
10,330,229636,3134,3,66,833,233672,98.27279263240783,1.3411962066486358,0.0012838508678831865,0.028244719093430105,0.3564825909822315,3
11,773,195417,3543,98,0,2864,201922,96.77845900892423,1.7546379294975287,0.048533592179158286,0.0,1.418369469399075,3
12,762,185337,21347,88,626,2235,209633,88.41022167311444,10.183034159698138,0.04197812367327663,0.2986171070394451,1.0661489364746963,3
13,021,213359,34616,590,500,81,249146,85.63613303043196,13.893861430647089,0.2368089393367744,0.20068554181082576,0.03251105777335377,3
14,016,72392,34732,48882,2626,942,159574,45.36578640630679,21.765450511988167,30.632809856242243,1.6456314938523822,0.5903217316104127,1
15,770,139224,2700,932,0,2776,145632,95.59986816084377,1.8539881344759392,0.6399692375302132,0.0,1.906174467150077,3
16,053,14810,86667,54131,74777,851,231236,6.404712069054991,37.47989067446245,23.409417218772163,32.33795775744262,0.36802228026777833,0
17,477,170713,1568,135,17,20,172453,98.99102943990536,0.9092332403611418,0.07828219862803198,0.009857758345752176,0.011597362759708442,3
18,326,68000,32053,1857,207,63,102180,66.54922685457036,31.369152476022705,1.8173810921902525,0.2025836758661186,0.06165590135055784,0
19,325,8282,33770,18586,5274,0,65912,12.565238499817937,51.23497997329773,28.198203665493388,8.001577861390945,0.0,0
20,052,97364,93128,16345,2951,110,209898,46.38634003182498,44.36821694346778,7.787115646647419,1.4059209711383625,0.05240640692145709,0
21,341,197952,908,0,26,291,199177,99.3849691480442,0.45587592944968547,0.0,0.013053716041510816,0.14610120646460184,3
22,783,50004,33922,25729,3813,431,113899,43.90205357378028,29.782526624465532,22.58931158306921,3.347702789313339,0.3784054293716363,1
23,508,199222,1186,0,0,391,200799,99.21463752309523,0.5906403916354166,0.0,0.0,0.19472208526934895,3
24,511,27746,58182,2081,95419,18,183446,15.124886887694473,31.7161453506754,1.1343937725543212,52.01476183727092,0.009812151804890812,0
25,329,164008,1700,0,0,76,165784,98.92872653573325,1.0254306808859721,0.0,0.0,0.04584278338078464,3
26,291,81485,33575,32782,18647,2999,169488,48.077150004720096,19.80966204097045,19.341782309072027,11.001958840743887,1.7694468044935334,2
27,405,194349,32960,1765,1444,1010,231528,83.94189903596974,14.235859161742855,0.7623268028057082,0.6236826647316955,0.43623233475000867,3
28,752,144291,14672,17518,118,32945,209544,68.85952353682282,7.001870728820678,8.360058030771581,0.05631275531630588,15.722234948268621,2
29,713,248346,7221,75,16,656,256314,96.89131299889979,2.817247594747068,0.029260984573608935,0.0062423433757032385,0.2559360784038328,3
30,512,134844,18674,960,1052,0,155530,86.69967208898605,12.006686812833536,0.6172442615572559,0.6763968366231595,0.0,0
31,322,143266,1335,0,0,808,145409,98.52622602452394,0.918099980056255,0.0,0.0,0.5556739954198159,3
32,323,141492,215,4,0,17,141728,99.83348385640099,0.15169902912621358,0.0028223075186272297,0.0,0.011994806954165726,3
33,055,162001,7429,51,2,526,170009,95.28966113558694,4.369768659306272,0.029998411848784476,0.0011764083077954698,0.3093953849502085,3
34,014,112681,30100,44567,5367,4290,197005,57.197025456206696,15.27880003045608,22.622268470343393,2.7242963376564044,2.177609705337428,1
35,771,206625,3947,287,0,133,210992,97.9302532797452,1.8706870402669293,0.13602411465837566,0.0,0.06303556532949116,3
36,336,151481,1502,2,1,52,153038,98.98260562736053,0.9814555861942785,0.0013068649616435133,0.0006534324808217567,0.03397848900273135,3
37,475,145207,173,0,0,683,146063,99.41395151407269,0.11844204213250448,0.0,0.0,0.4676064437948008,3
38,406,210890,13789,611,1350,2166,228806,92.16978575736651,6.02650280149996,0.26703845178885166,0.5900194924958262,0.9466534968488588,3
39,784,37450,14580,14703,2002,423,69158,54.15136354434773,21.082159692298795,21.260013302871688,2.894820555828682,0.6116429046531132,1
40,383,138000,572,1,4,1509,140086,98.51091472381252,0.40832060305812146,0.000713847208143569,0.002855388832574276,1.0771954370886456,3
41,821,123938,1727,3,22,852,126542,97.9421852033317,1.3647642679900744,0.00237075437404182,0.017385532076306682,0.6732942422278769,3
42,017,95327,57916,43053,6611,1262,204169,46.69024190743942,28.36669621734935,21.08694267983876,3.2380038105686952,0.6181153848037655,1
43,872,198229,741,2,1,32,199005,99.6100600487425,0.3723524534559433,0.0010049998743750157,0.0005024999371875078,0.01607999799000025,3
44,387,221626,1730,0,5,8,223369,99.21967685757647,0.7745031763584025,0.0,0.002238448486584978,0.003581517578535965,3
45,714,228999,7755,267,20,285,237326,96.49132417012886,3.267657146709589,0.11250347623100715,0.008427226683970572,0.12008798024658064,3
46,339,188400,36164,0,32,188,224784,83.81379457612641,16.08833368923055,0.0,0.014235888675350559,0.08363584596768453,3
47,749,123932,5356,11492,583,38830,180193,68.77736649037422,2.972368515980088,6.377606233316499,0.32354197998812384,21.54911678034108,2
